122	1	1:-51	2:-43	3:-48	4:-56	5:-61	6:-74	7:-72	8:-75	9:-80
123	2	1:-51	2:-49	3:-62	4:-55	5:-67	6:-72	7:-73	8:-80	9:-79	
124	1	1:-45	2:-51	3:-60	4:-51	5:-65	6:-68	7:-70	8:-83	9:-80	
124	1	1:-46	2:-49	3:-57	4:-51	5:-63	6:-67	7:-68	8:-81	9:-79	
124	1	1:-50	2:-50	3:-53	4:-53	5:-60	6:-71	7:-77	8:-78	9:-83
125	1	1:-45	2:-51	3:-58	4:-52	5:-65	6:-66	7:-69	8:-83	9:-76	
125	1	1:-47	2:-43	3:-47	4:-55	5:-63	6:-75	7:-75	8:-83	9:-92
125	1	1:-49	2:-46	3:-45	4:-85	5:-67	6:-74	7:-73	8:-84	9:-90
127	4	1:-51	2:-47	3:-54	4:-57	5:-60	6:-64	7:-71	8:-74	9:-75	
129	1	1:-46	2:-46	3:-46	4:-52	5:-64	6:-74	7:-73	8:-84	9:-88
129	4	1:-55	2:-52	3:-63	4:-63	5:-59	6:-65	7:-74	8:-73	9:-75	
13	1	1:-45	2:-46	3:-46	4:-56	5:-64	6:-76	7:-74	8:-83	9:-89
130	1	1:-45	2:-49	3:-57	4:-51	5:-64	6:-66	7:-70	8:-80	9:-75	
130	2	1:-48	2:-55	3:-66	4:-57	5:-65	6:-72	7:-72	8:-80	9:-78	
132	1	1:-46	2:-46	3:-46	4:-52	5:-64	6:-74	7:-73	8:-84	9:-88
133	1	1:-48	2:-47	3:-45	4:-85	5:-64	6:-74	7:-72	8:-84	9:-90
133	3	1:-50	2:-47	3:-59	4:-60	5:-58	6:-55	7:-71	8:-72	9:-73	
136	1	1:-45	2:-49	3:-55	4:-53	5:-64	6:-66	7:-69	8:-83	9:-77	
137	1	1:-45	2:-48	3:-56	4:-51	5:-62	6:-66	7:-70	8:-83	9:-79	
137	2	1:-91	2:-55	3:-59	4:-42	5:-72	6:-83	7:-85	8:-85	9:-91
139	1	1:-45	2:-49	3:-55	4:-51	5:-65	6:-67	7:-71	8:-83	9:-81	
139	3	1:-48	2:-51	3:-47	4:-57	5:-52	6:-56	7:-68	8:-71	9:-72	
14	2	1:-55	2:-54	3:-59	4:-52	5:-74	6:-82	7:-80	8:-88	9:-87
14	4	1:-53	2:-44	3:-79	4:-68	5:-63	6:-63	7:-73	8:-73	9:-82
140	1	1:-45	2:-41	3:-47	4:-52	5:-62	6:-72	7:-73	8:-83	9:-89
140	1	1:-45	2:-53	3:-54	4:-52	5:-65	6:-66	7:-68	8:-83	9:-75	
142	1	1:-45	2:-49	3:-48	4:-48	5:-66	6:-65	7:-69	8:-80	9:-79	
142	3	1:-47	2:-53	3:-48	4:-83	5:-56	6:-60	7:-65	8:-69	9:-73	
143	1	1:-45	2:-52	3:-54	4:-52	5:-65	6:-66	7:-68	8:-83	9:-75	
144	1	1:-47	2:-46	3:-49	4:-53	5:-63	6:-79	7:-76	8:-82	9:-90
144	4	1:-49	2:-52	3:-53	4:-62	5:-54	6:-64	7:-68	8:-71	9:-75	
145	1	1:-45	2:-46	3:-45	4:-69	5:-64	6:-73	7:-75	8:-88	9:-84
146	1	1:-46	2:-48	3:-48	4:-58	5:-63	6:-77	7:-73	8:-84	9:-89
146	4	1:-53	2:-51	3:-53	4:-60	5:-61	6:-65	7:-72	8:-72	9:-74	
147	3	1:-49	2:-47	3:-57	4:-58	5:-58	6:-55	7:-68	8:-72	9:-73	
147	4	1:-49	2:-48	3:-56	4:-83	5:-54	6:-62	7:-69	8:-73	9:-76	
149	4	1:-53	2:-49	3:-60	4:-65	5:-59	6:-65	7:-74	8:-73	9:-75	
15	1	1:-45	2:-47	3:-55	4:-53	5:-67	6:-66	7:-69	8:-82	9:-77	
15	1	1:-47	2:-48	3:-90	4:-52	5:-64	6:-73	7:-74	8:-85	9:-90
150	4	1:-63	2:-45	3:-63	4:-68	5:-50	6:-70	7:-71	8:-78	9:-81
151	1	1:-46	2:-46	3:-89	4:-52	5:-63	6:-74	7:-73	8:-84	9:-88
153	4	1:-53	2:-51	3:-61	4:-64	5:-56	6:-65	7:-74	8:-73	9:-75	
155	1	1:-43	2:-42	3:-45	4:-52	5:-64	6:-74	7:-81	8:-80	9:0
155	1	1:-45	2:-51	3:-54	4:-52	5:-65	6:-66	7:-69	8:-83	9:-75	
155	1	1:-46	2:-46	3:-48	4:-55	5:-61	6:-77	7:-73	8:-81	9:-90
156	2	1:-56	2:-52	3:-61	4:-48	5:-72	6:-80	7:-81	8:-85	9:-86
157	2	1:-51	2:-60	3:-86	4:-42	5:-72	6:-80	7:-81	8:-85	9:-86
159	1	1:-50	2:-47	3:-45	4:-53	5:-65	6:-73	7:-74	8:-86	9:-86
159	4	1:-56	2:-48	3:-42	4:-68	5:-53	6:-64	7:-72	8:-71	9:-78
16	1	1:-49	2:-45	3:-47	4:-57	5:-63	6:-75	7:-74	8:-84	9:-92
161	1	1:-44	2:-41	3:-47	4:-51	5:-63	6:-73	7:-73	8:-82	9:-89
162	1	1:-48	2:-46	3:-49	4:-55	5:-63	6:-75	7:-75	8:-85	9:-92
164	1	1:-45	2:-49	3:-60	4:-53	5:-66	6:-67	7:-70	8:0	9:-74	
165	1	1:-47	2:-49	3:-45	4:-55	5:-64	6:-73	7:-73	8:-86	9:-90
167	1	1:-45	2:-47	3:-54	4:-55	5:-63	6:-68	7:-71	8:-83	9:-80	
168	1	1:-44	2:-46	3:-49	4:-53	5:-62	6:-75	7:-74	8:-85	9:-88
168	1	1:-47	2:-47	3:-49	4:-49	5:-64	6:-68	7:-73	8:-75	9:-73	
168	2	1:-50	2:-50	3:-62	4:-55	5:-65	6:-72	7:-74	8:-78	9:-79	
169	2	1:-55	2:-55	3:-64	4:-60	5:-79	6:-79	7:-73	8:-79	9:-87
170	4	1:-55	2:-48	3:-56	4:-83	5:-61	6:-67	7:-72	8:-77	9:-74	
