@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Lunch,Dinner,Chopping,Washinginbathroom,Washingdishes,Breakfast}

@DATA
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,0,4,12,Washingdishes
6,1,4,10,Washingdishes
6,1,4,10,Washingdishes
6,?,4,10,Washingdishes
6,?,4,10,Washingdishes
6,6,4,10,Washingdishes
6,6,4,10,Washingdishes
7,6,4,10,Washingdishes
6,6,4,10,Washingdishes
6,5,4,23,Washingdishes
6,5,4,23,Washingdishes
6,15,4,14,Washingdishes
6,15,4,14,Washingdishes
7,7,4,22,Washingdishes
7,7,4,22,Washingdishes
5,?,4,22,Washingdishes
5,?,4,22,Washingdishes
7,7,4,18,Washingdishes
7,7,4,18,Washingdishes
7,14,4,12,Washingdishes
7,14,4,12,Washingdishes
5,5,4,18,Washingdishes
5,5,4,18,Washingdishes
7,15,4,00,Washingdishes
7,15,4,00,Washingdishes
7,?,4,00,Washingdishes
7,?,4,00,Washingdishes
7,1,4,00,Washingdishes
7,1,4,00,Washingdishes
5,8,4,13,Washingdishes
5,8,4,13,Washingdishes
7,5,4,19,Washingdishes
7,5,4,19,Washingdishes
5,?,4,19,Washingdishes
5,?,4,19,Washingdishes
5,7,4,19,Washingdishes
5,7,4,19,Washingdishes
5,6,4,23,Washingdishes
5,6,4,23,Washingdishes
5,2,4,23,Washingdishes
5,2,4,23,Washingdishes
5,?,4,13,Washingdishes
5,?,4,13,Washingdishes
5,0,4,20,Washingdishes
5,0,4,20,Washingdishes
6,?,4,20,Washingdishes
5,?,4,20,Washingdishes
6,?,4,20,Washingdishes
5,?,4,20,Washingdishes
6,6,4,00,Washingdishes
6,6,4,00,Washingdishes
6,5,4,11,Washingdishes
6,5,4,11,Washingdishes
6,?,4,11,Washingdishes
6,?,4,11,Washingdishes
6,7,4,11,Washingdishes
6,7,4,11,Washingdishes
6,7,4,20,Washingdishes
6,?,4,20,Washingdishes
6,?,4,20,Washingdishes
6,6,4,20,Washingdishes
6,6,4,20,Washingdishes
6,6,4,20,Washingdishes
6,6,4,20,Washingdishes
5,5,4,09,Washingdishes
5,5,4,09,Washingdishes
5,2,4,13,Washingdishes
5,2,4,13,Washingdishes
5,6,4,14,Washingdishes
5,6,4,14,Washingdishes
5,?,4,14,Washingdishes
5,?,4,14,Washingdishes
5,5,4,14,Washingdishes
5,5,4,14,Washingdishes
5,8,4,14,Washingdishes
5,8,4,14,Washingdishes
6,7,4,17,Washingdishes
6,7,4,17,Washingdishes
5,7,4,13,Washingdishes
5,7,4,13,Washingdishes
5,7,4,13,Washingdishes
5,7,4,13,Washingdishes
5,?,4,13,Washingdishes
5,?,4,13,Washingdishes
5,1,4,13,Washingdishes
5,1,4,13,Washingdishes
5,15,4,13,Washingdishes
5,15,4,13,Washingdishes
4,7,4,20,Cooking
4,7,4,20,Cooking
3,0,4,20,Cooking
3,0,4,20,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
5,15,4,00,Cooking
5,15,4,00,Cooking
3,?,4,10,Cooking
5,?,4,10,Cooking
3,6,4,12,Cooking
3,6,4,12,Cooking
3,1,4,12,Cooking
3,1,4,12,Cooking
3,14,4,12,Cooking
3,14,4,12,Cooking
4,18,4,21,Cooking
4,18,4,21,Cooking
3,5,4,11,Cooking
3,6,4,11,Cooking
3,6,4,11,Cooking
3,5,4,18,Cooking
3,5,4,18,Cooking
3,2,4,08,Cooking
3,2,4,08,Cooking
5,15,4,08,Cooking
5,15,4,08,Cooking
4,1,4,13,Cooking
4,1,4,13,Cooking
5,2,4,18,Cooking
5,2,4,18,Cooking
3,2,4,18,Cooking
3,2,4,18,Cooking
4,5,4,12,Cooking
3,6,4,12,Cooking
4,6,4,12,Cooking
4,7,4,12,Cooking
4,7,4,12,Cooking
3,5,4,00,Cooking
3,5,4,00,Cooking
3,2,4,00,Cooking
3,18,4,00,Cooking
3,2,4,00,Cooking
3,2,4,00,Cooking
3,7,4,00,Cooking
3,7,4,00,Cooking
3,1,4,23,Cooking
3,1,4,23,Cooking
3,5,4,23,Cooking
3,5,4,23,Cooking
3,18,4,19,Cooking
3,18,4,19,Cooking
3,5,4,11,Cooking
3,5,4,11,Cooking
4,5,4,12,Cooking
5,5,4,12,Cooking
5,5,4,12,Cooking
5,5,4,12,Cooking
3,6,4,19,Cooking
3,6,4,19,Cooking
3,6,4,19,Cooking
3,6,4,19,Cooking
3,1,4,23,Cooking
3,1,4,23,Cooking
5,0,4,11,Cooking
5,0,4,11,Cooking
4,0,4,11,Cooking
4,0,4,11,Cooking
5,0,4,11,Cooking
5,0,4,11,Cooking
4,0,4,12,Cooking
4,0,4,12,Cooking
5,0,4,18,Cooking
5,0,4,18,Cooking
5,0,4,18,Cooking
5,0,4,18,Cooking
3,0,4,18,Cooking
3,0,4,18,Cooking
3,0,4,18,Cooking
3,0,4,18,Cooking
3,0,4,12,Cooking
3,0,4,12,Cooking
5,0,4,22,Cooking
5,0,4,22,Cooking
5,0,4,22,Cooking
5,0,4,22,Cooking
5,6,4,16,Cooking
5,6,4,16,Cooking
5,1,4,22,Cooking
5,1,4,22,Cooking
5,7,4,22,Cooking
5,7,4,22,Cooking
5,1,4,22,Cooking
5,1,4,22,Cooking
3,8,4,20,Cooking
3,8,4,20,Cooking
5,6,4,22,Cooking
5,6,4,22,Cooking
5,7,4,22,Cooking
5,7,4,22,Cooking
5,6,4,11,Cooking
5,15,4,11,Cooking
5,15,4,11,Cooking
4,5,4,11,Cooking
5,5,4,23,Cooking
5,5,4,23,Cooking
5,1,4,00,Cooking
5,1,4,00,Cooking
5,6,4,18,Cooking
5,6,4,18,Cooking
5,6,4,18,Cooking
5,6,4,18,Cooking
5,7,4,18,Cooking
5,7,4,18,Cooking
5,?,4,19,Cooking
