4.0,-6.75,0.13,7.23,87.0,E,116.0,1.0,978.9751,0.0,0.0,0.0,RunX,20160402_015844,,88.18,-1.23,-42.66,Phil,
0,0,0,
null
O:,356.38,20160402_015851.726,-133.23,-55.18,,
L:,7.1,20160402_015851.737,
L:,6.1,20160402_015851.738,
O:,24.89,20160402_015851.841,-128.52,-52.34,,
L:,6.45,20160402_015851.861,
L:,6.95,20160402_015851.864,
L:,10.61,20160402_015851.942,
L:,14.61,20160402_015851.947,
L:,15.9,20160402_015852.040,
L:,16.9,20160402_015852.040,
O:,31.89,20160402_015852.122,-98.33,-53.55,,
L:,15.64,20160402_015852.140,
L:,14.14,20160402_015852.141,
O:,23.55,20160402_015852.228,-80.88,-58.09,,
L:,13.55,20160402_015852.242,
L:,13.05,20160402_015852.243,
L:,11.64,20160402_015852.345,
L:,10.14,20160402_015852.347,
S:,113.0,20160402_015852.391,
S:,114.0,20160402_015852.391,
L:,9.1,20160402_015852.443,
L:,8.1,20160402_015852.443,
O:,25.18,20160402_015852.519,-44.15,-61.97,,
L:,7.55,20160402_015852.543,
L:,7.05,20160402_015852.544,
O:,25.6,20160402_015852.625,-29.63,-67.94,,
L:,5.64,20160402_015852.644,
L:,4.14,20160402_015852.646,
L:,4.0,20160402_015852.746,
O:,93.24,20160402_015852.921,42.41,-77.19,,
O:,83.47,20160402_015853.021,35.0,-75.85,,
S:,115.0,20160402_015853.323,
S:,116.0,20160402_015853.340,
O:,83.54,20160402_015853.342,29.49,-74.46,,
O:,83.31,20160402_015853.418,24.52,-72.66,,
O:,63.04,20160402_015853.723,8.32,-60.89,,
O:,62.95,20160402_015853.839,3.86,-54.02,,
O:,65.68,20160402_015854.109,1.84,-49.95,,
O:,69.34,20160402_015854.221,0.95,-46.87,,
O:,72.82,20160402_015854.505,0.55,-45.3,,
O:,75.24,20160402_015854.620,-0.1,-45.19,,
O:,77.36,20160402_015854.903,-0.43,-44.64,,
O:,79.15,20160402_015855.008,-0.63,-44.07,,
O:,80.44,20160402_015855.305,-0.8,-43.7,,
O:,81.62,20160402_015855.404,-0.88,-43.44,,
O:,82.98,20160402_015855.697,-0.94,-43.37,,
O:,83.94,20160402_015855.801,-0.98,-43.28,,
O:,84.8,20160402_015856.095,-1.02,-43.24,,
O:,85.27,20160402_015856.199,-1.02,-43.19,,
