Cooking 	SW 	-118.0 	2014-11-12 18:24:57 	
Cooking 	SW 	-115.0 	2014-11-12 18:25:16 	
Cooking 	SW 	-114.0 	2014-11-12 18:25:20 	
Cooking 	SE 	145.0 	2014-11-12 23:13:59 	
Cooking 	SE 	150.0 	2014-11-12 23:14:03 	
Cooking 	S 	170.0 	2014-11-12 23:14:25 	
Cooking 	S 	170.0 	2014-11-12 23:14:29 	
Cooking 	SE 	134.0 	2014-11-12 23:14:43 	
Cooking 	SE 	140.0 	2014-11-12 23:14:47 	
Cooking 	SW 	-126.0 	2014-11-13 19:39:12 	
Cooking 	SW 	-120.0 	2014-11-13 19:39:16 	
Cooking 	SW 	-126.0 	2014-11-13 19:46:49 	
Cooking 	SW 	-126.0 	2014-11-13 19:46:53 	
Cooking 	SW 	-126.0 	2014-11-13 19:48:47 	
Cooking 	SW 	-126.0 	2014-11-13 19:48:51 	
Cooking 	SW 	-126.0 	2014-11-13 19:51:11 	
Cooking 	SW 	-126.0 	2014-11-13 19:51:16 	
Cooking 	SW 	-141.0 	2014-11-13 19:52:23 	
Cooking 	SW 	-145.0 	2014-11-13 19:52:27 	
Cooking 	SW 	-140.0 	2014-11-13 19:53:16 	
Cooking 	SW 	-136.0 	2014-11-13 19:53:20 	
Cooking 	SW 	-124.0 	2014-11-14 00:32:31 	
Cooking 	SW 	-131.0 	2014-11-14 00:32:35 	
Cooking 	SW 	-142.0 	2014-11-14 00:32:53 	
Cooking 	SW 	-135.0 	2014-11-14 00:32:57 	
Cooking 	SW 	-132.0 	2014-11-14 00:33:19 	
Cooking 	SW 	-131.0 	2014-11-14 00:33:23 	
Cooking 	SE 	125.0 	2014-11-14 11:19:38 	
Cooking 	SE 	127.0 	2014-11-14 11:19:42 	
Cooking 	SE 	130.0 	2014-11-14 11:20:11 	
Cooking 	SE 	127.0 	2014-11-14 11:20:15 	
Cooking 	SW 	-122.0 	2014-11-14 11:21:50 	
Cooking 	SW 	-124.0 	2014-11-14 11:21:54 	
Cooking 	SW 	-130.0 	2014-11-14 19:35:13 	
Cooking 	SW 	-134.0 	2014-11-14 19:35:17 	
Cooking 	SW 	-126.0 	2014-11-15 09:29:54 	
Cooking 	SW 	-126.0 	2014-11-15 09:29:58 	
Cooking 	SW 	-126.0 	2014-11-15 09:30:43 	
Cooking 	SW 	-126.0 	2014-11-15 09:30:47 	
Cooking 	SW 	-126.0 	2014-11-15 09:31:03 	
Cooking 	SW 	-126.0 	2014-11-15 09:31:07 	
Cooking 	SW 	-126.0 	2014-11-15 09:32:00 	
Cooking 	SW 	-126.0 	2014-11-15 09:32:04 	
Cooking 	SW 	-153.0 	2014-11-15 13:19:23 	
Cooking 	S 	-161.0 	2014-11-15 13:19:27 	
Cooking 	S 	-176.0 	2014-11-15 13:20:31 	
Cooking 	S 	-177.0 	2014-11-15 13:20:35 	
Cooking 	S 	-178.0 	2014-11-15 13:21:26 	
Cooking 	S 	-179.0 	2014-11-15 13:21:30 	
Cooking 	S 	-176.0 	2014-11-15 13:22:29 	
Cooking 	S 	-176.0 	2014-11-15 13:22:33 	
Cooking 	SE 	126.0 	2014-11-15 13:38:52 	
Cooking 	SE 	125.0 	2014-11-15 13:38:56 	
Cooking 	SE 	125.0 	2014-11-15 13:41:45 	
Cooking 	SE 	125.0 	2014-11-15 13:41:49 	
Cooking 	SE 	127.0 	2014-11-15 13:44:33 	
Cooking 	SE 	125.0 	2014-11-15 13:44:38 	
Cooking 	SE 	122.0 	2014-11-15 13:46:02 	
Cooking 	SE 	126.0 	2014-11-15 13:46:06 	
Cooking 	SE 	125.0 	2014-11-15 13:48:40 	
Cooking 	SE 	127.0 	2014-11-15 13:48:44 	
Cooking 	S 	-170.0 	2014-11-15 13:50:39 	
Cooking 	S 	-167.0 	2014-11-15 13:50:43 	
Cooking 	S 	-167.0 	2014-11-15 13:51:11 	
Cooking 	S 	-165.0 	2014-11-15 13:51:15 	
Cooking 	SW 	-126.0 	2014-11-16 13:15:35 	
Cooking 	SW 	-126.0 	2014-11-16 13:15:39 	
Cooking 	SE 	122.0 	2014-11-16 13:17:00 	
Cooking 	SE 	123.0 	2014-11-16 13:17:04 	
Cooking 	SE 	123.0 	2014-11-16 13:17:26 	
Cooking 	SE 	122.0 	2014-11-16 13:17:30 	
Cooking 	SE 	114.0 	2014-11-16 13:18:08 	
Cooking 	SE 	115.0 	2014-11-16 13:18:12 	
Cooking 	SE 	114.0 	2014-11-16 13:22:07 	
Cooking 	SE 	114.0 	2014-11-16 13:22:11 	
Cooking 	SE 	117.0 	2014-10-05 23:57:37 	
Cooking 	SE 	117.0 	2014-10-05 23:57:39 	
Cooking 	SE 	117.0 	2014-10-06 11:00:36 	
