Washing dishes 	SW 	-124.0 	2014-11-15 13:49:24 	
Washing dishes 	SW 	-124.0 	2014-11-15 13:49:28 	
Washing dishes 	SW 	-124.0 	2014-11-15 14:31:08 	
Washing dishes 	SW 	-124.0 	2014-11-15 14:31:12 	
Washing dishes 	SW 	-124.0 	2014-11-15 14:32:02 	
Washing dishes 	SW 	-124.0 	2014-11-15 14:32:06 	
Washing dishes 	SW 	-124.0 	2014-11-15 14:35:19 	
Washing dishes 	SW 	-124.0 	2014-11-15 14:35:23 	
Washing dishes 	SW 	-124.0 	2014-11-15 14:35:57 	
Washing dishes 	SW 	-124.0 	2014-11-15 14:36:01 	
Washing dishes 	W 	-99.0 	2014-11-15 17:03:42 	
Washing dishes 	W 	-95.0 	2014-11-15 17:03:46 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:48:45 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:48:49 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:49:13 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:49:17 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:50:22 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:50:26 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:52:02 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:52:06 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:54:10 	
Washing dishes 	SW 	-124.0 	2014-11-16 13:54:14 	
