4	1:-52	2:-47	3:-54	4:-63	5:-68	6:-72	7:-76	8:-74
3	1:-51	2:-40	3:-46	4:-46	5:-58	6:-73	7:-80	8:-77
4	1:-51	2:-50	3:-56	4:-60	5:-67	6:-72	7:-74	8:-74
4	1:-47	2:-52	3:-53	4:-54	5:-64	6:-68	7:-71	8:-75
1	1:-45	2:-52	3:-54	4:-65	5:-66	6:-68	7:-83	8:-75
4	1:-49	2:-49	3:-49	4:-57	5:-64	6:-70	7:-72	8:-77
4	1:-55	2:-46	3:-59	4:-49	5:-65	6:-78	7:-72	8:-82
4	1:-55	2:-48	3:-52	4:-66	5:-75	6:-86	7:-84	8:-81
2	1:-46	2:-47	3:-47	4:-67	5:-71	6:-71	7:-83	8:-77
3	1:-48	2:-37	3:-49	4:-45	5:-59	6:-69	7:-70	8:-76
1	1:-45	2:-48	3:-55	4:-64	5:-66	6:-69	7:-83	8:-78
2	1:-50	2:-49	3:-61	4:-73	5:-77	6:-74	7:-89	8:-84
4	1:-53	2:-51	3:-53	4:-61	5:-65	6:-72	7:-72	8:-74
1	1:-45	2:-51	3:-58	4:-65	5:-66	6:-69	7:-83	8:-76
4	1:-49	2:-47	3:-56	4:-58	5:-62	6:-71	7:-74	8:-74
1	1:-45	2:-47	3:-54	4:-63	5:-68	6:-71	7:-83	8:-80
4	1:-55	2:-49	3:-59	4:-58	5:-65	6:-74	7:-73	8:-75
1	1:-45	2:-51	3:-54	4:-65	5:-66	6:-68	7:-83	8:-75
1	1:-45	2:-47	3:-53	4:-65	5:-66	6:-69	7:-83	8:-74
4	1:-53	2:-51	3:-60	4:-55	5:-65	6:-74	7:-73	8:-75
3	1:-50	2:-41	3:-46	4:-46	5:-60	6:-73	7:-73	8:-77
1	1:-45	2:-47	3:-55	4:-67	5:-66	6:-69	7:-82	8:-77
1	1:-45	2:-49	3:-60	4:-65	5:-67	6:-70	7:-82	8:-75
3	1:-47	2:-45	3:-57	4:-60	5:-65	6:-69	7:-70	8:-78
2	1:-55	2:-56	3:-70	4:-68	5:-81	6:-86	7:-85	8:0
1	1:-45	2:-56	3:-54	4:-64	5:-66	6:-68	7:-83	8:-75
3	1:-51	2:-40	3:-46	4:-46	5:-60	6:-72	7:-70	8:-77
1	1:-45	2:-47	3:-54	4:-67	5:-66	6:-69	7:-82	8:-77
2	1:-45	2:-47	3:-57	4:-61	5:-62	6:-73	7:-77	8:-81
1	1:-45	2:-53	3:-54	4:-65	5:-66	6:-68	7:-83	8:-75
1	1:-45	2:-49	3:-57	4:-62	5:-67	6:-70	7:-83	8:-81
1	1:-47	2:-47	3:-49	4:-64	5:-68	6:-73	7:-75	8:-73
4	1:-50	2:-47	3:-56	4:-60	5:-63	6:-70	7:-72	8:-75
4	1:-50	2:-47	3:-50	4:-57	5:-66	6:-63	7:-68	8:-73
1	1:-45	2:-48	3:-56	4:-62	5:-66	6:-70	7:-83	8:-79
3	1:-47	2:-53	3:-48	4:-56	5:-60	6:-65	7:-69	8:-73
1	1:-45	2:-50	3:-56	4:-65	5:-67	6:-69	7:-83	8:-75
4	1:-63	2:-47	3:-84	4:-56	5:-73	6:-79	7:-72	8:-86
