1	1:-44	2:-47	3:-49	4:-72	5:-78	6:-78	7:-80	8:-85	#2014-10-12 21:39:07
4	1:-55	2:-50	3:-60	4:-64	5:-73	6:-76	7:-86	8:0	#2014-11-16 13:18:12
1	1:-53	2:-46	3:-46	4:-72	5:-81	6:-83	7:-84	8:-87	#2014-10-21 11:50:45
1	1:-60	2:-53	3:-47	4:-66	5:-84	6:-85	7:-84	8:-84	#2014-10-20 20:53:29
1	1:-52	2:-56	3:-47	4:-74	5:-75	6:-87	7:-84	8:-86	#2014-10-31 17:36:10
1	1:-45	2:-49	3:-60	4:-65	5:-72	6:-82	7:-87	8:0	#2014-11-10 11:54:42
4	1:-54	2:-52	3:-79	4:-49	5:-68	6:-76	7:-81	8:0	#2014-11-14 00:32:31
1	1:-52	2:-79	3:-49	4:-64	5:-74	6:-76	7:-68	8:-81	#2014-10-16 11:23:31
4	1:-52	2:-47	3:-55	4:-54	5:-72	6:-80	7:-75	8:0	#2014-10-18 09:40:21
4	1:-71	2:-49	3:-51	4:-63	5:-72	6:-85	7:-80	8:0	#2014-11-11 18:10:17
4	1:-68	2:-53	3:-56	4:-67	5:-77	6:-91	7:-83	8:0	#2014-11-16 13:15:35
2	1:-62	2:-50	3:-57	4:-60	5:-80	6:-82	7:-85	8:0	#2014-11-08 23:44:47
1	1:-43	2:-47	3:-46	4:-70	5:-77	6:-81	7:-82	8:0	#2014-10-26 18:08:47
4	1:-64	2:-50	3:-51	4:-69	5:-77	6:0	7:-87	8:0	#2014-11-09 14:31:59
4	1:-52	2:-43	3:-59	4:-61	5:-75	6:-79	7:-74	8:0	#2014-11-11 17:39:36
4	1:-60	2:-55	3:-57	4:-65	5:-70	6:-86	7:0	8:0	#2014-11-14 20:19:56
1	1:-45	2:-44	3:-48	4:-61	5:-89	6:-73	7:-84	8:0	#2014-11-14 10:40:33
4	1:-50	2:-46	3:-49	4:-58	5:-64	6:-69	7:-81	8:0	#2014-10-20 12:38:02
4	1:-52	2:-44	3:-49	4:-56	5:-66	6:-82	7:-83	8:-82	#2014-10-21 12:32:24
4	1:-57	2:-54	3:-52	4:-49	5:-72	6:0	7:-83	8:0	#2014-10-27 18:14:35
4	1:-72	2:-51	3:-57	4:-53	5:-68	6:-79	7:-89	8:-87	#2014-10-18 08:55:18
4	1:-62	2:-87	3:-62	4:-65	5:-79	6:-87	7:-86	8:-85	#2014-10-30 12:40:38
4	1:-57	2:-54	3:-59	4:-62	5:-77	6:-85	7:-85	8:-84	#2014-10-18 08:56:07
4	1:-60	2:-48	3:-54	4:-63	5:-75	6:-80	7:-84	8:0	#2014-11-12 13:06:59
4	1:-65	2:-52	3:-65	4:-57	5:-66	6:-85	7:-83	8:0	#2014-10-28 18:45:30
4	1:-45	2:-56	3:-53	4:-52	5:-71	6:-79	7:-79	8:0	#2014-10-18 09:40:25
4	1:-47	2:-45	3:-47	4:-60	5:-64	6:-73	7:-86	8:-81	#2014-10-18 19:53:39
4	1:-60	2:-54	3:-52	4:-59	5:-76	6:-80	7:-85	8:0	#2014-11-12 00:29:42
4	1:-58	2:-57	3:-53	4:-66	5:-72	6:0	7:-79	8:0	#2014-11-11 11:50:34
4	1:-57	2:-39	3:-56	4:-61	5:-89	6:0	7:-77	8:0	#2014-10-13 23:52:17
4	1:-69	2:-51	3:-68	4:-52	5:-71	6:-83	7:0	8:0	#2014-11-15 13:24:34
1	1:-46	2:-43	3:-54	4:-75	5:-76	6:0	7:-88	8:0	#2014-10-23 07:01:22
4	1:-65	2:-51	3:-59	4:-72	5:-70	6:-88	7:0	8:0	#2014-11-06 20:39:39
4	1:-58	2:-38	3:-47	4:-52	5:-69	6:-72	7:-81	8:-80	#2014-10-22 23:30:54
4	1:-51	2:-45	3:-56	4:-58	5:-67	6:-81	7:-73	8:0	#2014-11-08 10:43:29
4	1:-66	2:-56	3:-63	4:-60	5:-68	6:-83	7:-81	8:0	#2014-11-13 19:46:53
1	1:-52	2:-51	3:-56	4:-79	5:-79	6:-89	7:-89	8:0	#2014-10-26 13:40:06
4	1:-50	2:-56	3:-58	4:-63	5:-70	6:-77	7:-79	8:-85	#2014-10-18 09:07:20
