@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Cookingchopping,Lunch,Dinner,Washinginbathroom,Washingdishes,Breakfast}

@DATA
6,0,4,14,Washingdishes
7,0,4,22,Washingdishes
7,0,4,22,Washingdishes
5,?,4,22,Washingdishes
5,?,4,22,Washingdishes
7,2,4,18,Washingdishes
7,2,4,18,Washingdishes
7,6,4,12,Washingdishes
7,6,4,12,Washingdishes
5,2,4,18,Washingdishes
5,2,4,18,Washingdishes
7,?,4,00,Washingdishes
7,?,4,00,Washingdishes
7,?,4,00,Washingdishes
7,?,4,00,Washingdishes
7,0,4,00,Washingdishes
7,0,4,00,Washingdishes
5,4,4,13,Washingdishes
5,4,4,13,Washingdishes
7,?,4,19,Washingdishes
7,?,4,19,Washingdishes
5,?,4,19,Washingdishes
5,?,4,19,Washingdishes
5,?,4,19,Washingdishes
5,?,4,19,Washingdishes
5,2,4,23,Washingdishes
5,2,4,23,Washingdishes
5,4,4,23,Washingdishes
5,4,4,23,Washingdishes
5,?,4,13,Washingdishes
5,?,4,13,Washingdishes
5,4,4,20,Washingdishes
5,4,4,20,Washingdishes
6,?,4,20,Washingdishes
5,?,4,20,Washingdishes
6,?,4,20,Washingdishes
5,?,4,20,Washingdishes
6,2,4,00,Washingdishes
6,2,4,00,Washingdishes
6,6,4,11,Washingdishes
6,6,4,11,Washingdishes
6,?,4,11,Washingdishes
6,?,4,11,Washingdishes
6,0,4,11,Washingdishes
6,0,4,11,Washingdishes
6,6,4,20,Washingdishes
6,?,4,20,Washingdishes
6,?,4,20,Washingdishes
6,2,4,20,Washingdishes
6,2,4,20,Washingdishes
6,2,4,20,Washingdishes
6,2,4,20,Washingdishes
5,?,4,09,Washingdishes
5,?,4,09,Washingdishes
5,6,4,13,Washingdishes
5,6,4,13,Washingdishes
5,2,4,14,Washingdishes
5,2,4,14,Washingdishes
5,?,4,14,Washingdishes
5,?,4,14,Washingdishes
5,4,4,14,Washingdishes
5,4,4,14,Washingdishes
5,?,4,14,Washingdishes
5,?,4,14,Washingdishes
6,4,4,17,Washingdishes
6,4,4,17,Washingdishes
5,?,4,13,Washingdishes
5,?,4,13,Washingdishes
5,4,4,13,Washingdishes
5,4,4,13,Washingdishes
5,?,4,13,Washingdishes
5,?,4,13,Washingdishes
5,?,4,13,Washingdishes
5,?,4,13,Washingdishes
5,4,4,13,Washingdishes
5,4,4,13,Washingdishes
6,4,4,19,Cookingchopping
6,4,4,19,Cookingchopping
5,4,4,20,Cookingchopping
5,4,4,20,Cookingchopping
5,4,4,20,Cookingchopping
5,4,4,20,Cookingchopping
5,?,4,20,Cookingchopping
5,?,4,20,Cookingchopping
5,4,4,20,Cookingchopping
4,?,4,20,Cooking
4,?,4,20,Cooking
3,4,4,20,Cooking
3,4,4,20,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
4,?,4,23,Cooking
5,4,4,00,Cooking
5,4,4,00,Cooking
3,?,4,10,Cooking
5,?,4,10,Cooking
3,2,4,12,Cooking
3,2,4,12,Cooking
3,4,4,12,Cooking
3,4,4,12,Cooking
3,6,4,12,Cooking
3,6,4,12,Cooking
4,4,4,21,Cooking
4,4,4,21,Cooking
3,2,4,11,Cooking
3,2,4,11,Cooking
3,2,4,11,Cooking
3,0,4,18,Cooking
3,0,4,18,Cooking
3,?,4,08,Cooking
3,?,4,08,Cooking
5,4,4,08,Cooking
5,4,4,08,Cooking
4,6,4,13,Cooking
4,6,4,13,Cooking
5,2,4,18,Cooking
5,2,4,18,Cooking
3,4,4,18,Cooking
3,4,4,18,Cooking
4,4,4,12,Cooking
3,4,4,12,Cooking
4,4,4,12,Cooking
4,2,4,12,Cooking
4,2,4,12,Cooking
3,4,4,00,Cooking
3,4,4,00,Cooking
3,4,4,00,Cooking
3,6,4,00,Cooking
3,0,4,00,Cooking
3,0,4,00,Cooking
3,0,4,00,Cooking
3,0,4,00,Cooking
3,2,4,23,Cooking
3,2,4,23,Cooking
3,1,4,23,Cooking
3,1,4,23,Cooking
3,0,4,19,Cooking
3,0,4,19,Cooking
3,4,4,11,Cooking
3,4,4,11,Cooking
4,6,4,12,Cooking
5,6,4,12,Cooking
5,6,4,12,Cooking
5,6,4,12,Cooking
3,2,4,19,Cooking
3,2,4,19,Cooking
3,2,4,19,Cooking
3,2,4,19,Cooking
3,0,4,23,Cooking
3,0,4,23,Cooking
5,4,4,11,Cooking
5,4,4,11,Cooking
4,4,4,11,Cooking
4,4,4,11,Cooking
5,4,4,11,Cooking
5,4,4,11,Cooking
4,4,4,12,Cooking
4,4,4,12,Cooking
5,4,4,18,Cooking
5,4,4,18,Cooking
5,4,4,18,Cooking
5,4,4,18,Cooking
3,4,4,18,Cooking
3,4,4,18,Cooking
3,4,4,18,Cooking
3,4,4,18,Cooking
3,4,4,12,Cooking
3,4,4,12,Cooking
5,4,4,22,Cooking
5,4,4,22,Cooking
5,4,4,22,Cooking
5,4,4,22,Cooking
5,4,4,16,Cooking
5,4,4,16,Cooking
5,1,4,22,Cooking
5,1,4,22,Cooking
5,?,4,22,Cooking
5,?,4,22,Cooking
5,6,4,22,Cooking
5,6,4,22,Cooking
3,4,4,20,Cooking
3,4,4,20,Cooking
5,2,4,22,Cooking
5,2,4,22,Cooking
5,2,4,22,Cooking
5,2,4,22,Cooking
5,2,4,11,Cooking
5,2,4,11,Cooking
5,2,4,11,Cooking
4,?,4,11,Cooking
5,0,4,23,Cooking
5,0,4,23,Cooking
5,1,4,00,Cooking
5,1,4,00,Cooking
5,2,4,18,Cooking
5,2,4,18,Cooking
5,2,4,18,Cooking
5,2,4,18,Cooking
5,2,4,18,Cooking
5,2,4,18,Cooking
5,?,4,19,Cooking
5,2,4,11,Cooking
5,2,4,11,Cooking
5,?,4,12,Cooking
5,?,4,12,Cooking
5,4,4,18,Cooking
5,4,4,18,Cooking
3,2,4,11,Cooking
4,2,4,11,Cooking
5,2,4,11,Cooking
5,2,4,11,Cooking
5,4,4,11,Cooking
5,4,4,11,Cooking
5,4,4,12,Cooking
5,4,4,12,Cooking
